a b c | 1 2 d
d e f | 1 3 g
d e f | 1 4 g
d e f | 1 5 g
d e f | 2 3 g
d e f | 2 4 g
d e f | 2 5 g
d e f | 3 4 g
d e f | 3 5 g
d e f | 4 5 g
d e g | 1 2 a
d e g | 1 3 a
d e g | 1 4 a
d e g | 1 5 a
d e g | 2 3 a
d e g | 2 4 a
d e g | 2 5 a
d e g | 3 4 a
d e g | 3 5 a
d e g | 4 5 a
d e g | 1 2 b
d e g | 1 3 b
d e g | 1 4 b
d e g | 1 5 b
d e g | 2 3 b
d e g | 2 4 b
d e g | 2 5 b
d e g | 3 4 b
d e g | 3 5 b
d e g | 4 5 b
d e g | 1 2 c
d e g | 1 3 c
d e g | 1 4 c
d e g | 1 5 c
d e g | 2 3 c
d e g | 2 4 c
d e g | 2 5 c
d e g | 3 4 c
d e g | 3 5 c
d e g | 4 5 c
d e g | 1 2 f
d e g | 1 3 f
d e g | 1 4 f
d e g | 1 5 f
d e g | 2 3 f
d e g | 2 4 f
d e g | 2 5 f
d e g | 3 4 f
d e g | 3 5 f
d e g | 4 5 f
d f g | 1 2 a
d f g | 1 3 a
d f g | 1 4 a
d f g | 1 5 a
d f g | 2 3 a
d f g | 2 4 a
d f g | 2 5 a
d f g | 3 4 a
d f g | 3 5 a
d f g | 4 5 a
d f g | 1 2 b
d f g | 1 3 b
d f g | 1 4 b
d f g | 1 5 b
d f g | 2 3 b
d f g | 2 4 b
d f g | 2 5 b
d f g | 3 4 b
d f g | 3 5 b
d f g | 4 5 b
d f g | 1 2 c
d f g | 1 3 c
d f g | 1 4 c
d f g | 1 5 c
d f g | 2 3 c
d f g | 2 4 c
d f g | 2 5 c
d f g | 3 4 c
d f g | 3 5 c
d f g | 4 5 c
d f g | 1 2 e
d f g | 1 3 e
d f g | 1 4 e
d f g | 1 5 e
d f g | 2 3 e
d f g | 2 4 e
d f g | 2 5 e
d f g | 3 4 e
d f g | 3 5 e
d f g | 4 5 e
e f g | 1 2 a
e f g | 1 3 a
e f g | 1 4 a
e f g | 1 5 a
e f g | 2 3 a
e f g | 2 4 a
e f g | 2 5 a
e f g | 3 4 a
e f g | 3 5 a
e f g | 4 5 a
e f g | 1 2 b
e f g | 1 3 b
e f g | 1 4 b
e f g | 1 5 b
e f g | 2 3 b
e f g | 2 4 b
e f g | 2 5 b
e f g | 3 4 b
e f g | 3 5 b
e f g | 4 5 b
e f g | 1 2 c
e f g | 1 3 c
e f g | 1 4 c
e f g | 1 5 c
e f g | 2 3 c
e f g | 2 4 c
e f g | 2 5 c
e f g | 3 4 c
e f g | 3 5 c
e f g | 4 5 c
e f g | 1 2 d
e f g | 1 3 d
e f g | 1 4 d
e f g | 1 5 d
e f g | 2 3 d
e f g | 2 4 d
e f g | 2 5 d
e f g | 3 4 d
e f g | 3 5 d
e f g | 4 5 d
